config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 1 1 0
(10+2)(17+3) 57600 2 1 0
(10+2)(17+3) 57600 2 2 0
(10+2)(17+3) 57600 3 1 0
(10+2)(17+3) 57600 3 2 0
(10+2)(17+3) 57600 3 3 0
(10+2)(17+3) 57600 4 1 0
(10+2)(17+3) 57600 4 2 0
(10+2)(17+3) 57600 4 3 0
(10+2)(17+3) 57600 4 4 0
(10+2)(17+3) 57600 5 1 0
(10+2)(17+3) 57600 5 2 0
(10+2)(17+3) 57600 5 3 0
(10+2)(17+3) 57600 5 4 0
(10+2)(17+3) 57600 5 5 0
(10+2)(17+3) 57600 6 1 0
(10+2)(17+3) 57600 6 2 0
(10+2)(17+3) 57600 6 3 0
(10+2)(17+3) 57600 6 4 0
(10+2)(17+3) 57600 6 5 0
(10+2)(17+3) 57600 6 6 0
(10+2)(17+3) 57600 7 1 0
(10+2)(17+3) 57600 7 2 0
(10+2)(17+3) 57600 7 3 0
(10+2)(17+3) 57600 7 4 0
(10+2)(17+3) 57600 7 5 0
(10+2)(17+3) 57600 7 6 0
(10+2)(17+3) 57600 7 7 0
(10+2)(17+3) 57600 8 1 0
(10+2)(17+3) 57600 8 2 0
(10+2)(17+3) 57600 8 3 0
(10+2)(17+3) 57600 8 4 0
(10+2)(17+3) 57600 8 5 0
(10+2)(17+3) 57600 8 6 0
(10+2)(17+3) 57600 8 7 0
(10+2)(17+3) 57600 8 8 0
(10+2)(17+3) 57600 9 1 0
(10+2)(17+3) 57600 9 2 0
(10+2)(17+3) 57600 9 3 0
(10+2)(17+3) 57600 9 4 0
(10+2)(17+3) 57600 9 5 0
(10+2)(17+3) 57600 9 6 0
(10+2)(17+3) 57600 9 7 0
(10+2)(17+3) 57600 9 8 0
(10+2)(17+3) 57600 9 9 0
(10+2)(17+3) 57600 10 1 0
(10+2)(17+3) 57600 10 2 0
(10+2)(17+3) 57600 10 3 0
(10+2)(17+3) 57600 10 4 0
(10+2)(17+3) 57600 10 5 0
(10+2)(17+3) 57600 10 6 0
(10+2)(17+3) 57600 10 7 0
(10+2)(17+3) 57600 10 8 0
(10+2)(17+3) 57600 10 9 0
(10+2)(17+3) 57600 10 10 0
(10+2)(17+3) 57600 11 1 0
(10+2)(17+3) 57600 11 2 0
(10+2)(17+3) 57600 11 3 0
(10+2)(17+3) 57600 11 4 0
(10+2)(17+3) 57600 11 5 0
(10+2)(17+3) 57600 11 6 0
(10+2)(17+3) 57600 11 7 0
(10+2)(17+3) 57600 11 8 0
(10+2)(17+3) 57600 11 9 0
(10+2)(17+3) 57600 11 10 0
(10+2)(17+3) 57600 11 11 0
(10+2)(17+3) 57600 12 1 0
(10+2)(17+3) 57600 12 2 0
(10+2)(17+3) 57600 12 3 2.703136858148422396339696527148975193862437133426336659607917742083846437067059E-22
(10+2)(17+3) 57600 12 4 0
(10+2)(17+3) 57600 12 5 0
(10+2)(17+3) 57600 12 6 0
(10+2)(17+3) 57600 12 7 0
(10+2)(17+3) 57600 12 8 0
(10+2)(17+3) 57600 12 9 0
(10+2)(17+3) 57600 12 10 0
(10+2)(17+3) 57600 12 11 0
(10+2)(17+3) 57600 12 12 0
(10+2)(17+3) 57600 13 1 0
(10+2)(17+3) 57600 13 2 0
(10+2)(17+3) 57600 13 3 3.4401039825589829423699673850035156278375701758553044800954656043123700554007102E-21
(10+2)(17+3) 57600 13 4 1.196974913579786260837376830154439376707828312355229638148831056249645254178178E-22
(10+2)(17+3) 57600 13 5 0
(10+2)(17+3) 57600 13 6 0
(10+2)(17+3) 57600 13 7 0
(10+2)(17+3) 57600 13 8 0
(10+2)(17+3) 57600 13 9 0
(10+2)(17+3) 57600 13 10 0
(10+2)(17+3) 57600 13 11 0
(10+2)(17+3) 57600 13 12 0
(10+2)(17+3) 57600 13 13 0
(10+2)(17+3) 57600 14 1 0
(10+2)(17+3) 57600 14 2 0
(10+2)(17+3) 57600 14 3 2.36360943272727398194471321412166548370501235859328647417575447998633971213907702E-20
(10+2)(17+3) 57600 14 4 1.4126447306992204086624973093545057285261488892132138149986617990248848892103948E-21
(10+2)(17+3) 57600 14 5 5.28511978014935607610707117763304118775474736313612448172707155788970161976641E-23
(10+2)(17+3) 57600 14 6 0
(10+2)(17+3) 57600 14 7 0
(10+2)(17+3) 57600 14 8 0
(10+2)(17+3) 57600 14 9 0
(10+2)(17+3) 57600 14 10 0
(10+2)(17+3) 57600 14 11 0
(10+2)(17+3) 57600 14 12 0
(10+2)(17+3) 57600 14 13 0
(10+2)(17+3) 57600 14 14 0
(10+2)(17+3) 57600 15 1 0
(10+2)(17+3) 57600 15 2 0
(10+2)(17+3) 57600 15 3 1.162001499459836042071561275051903657938685924847637051919295271362397859835040831E-19
(10+2)(17+3) 57600 15 4 9.0539309233318954095807015156249878297946118731026382451879034642447425980238480E-21
(10+2)(17+3) 57600 15 5 5.966856592545427143724792389512533878960764920398801914438999033323400634324010E-22
(10+2)(17+3) 57600 15 6 2.51409391803764434090734518363870388550883338358099767134767896500921069062315E-23
(10+2)(17+3) 57600 15 7 0
(10+2)(17+3) 57600 15 8 0
(10+2)(17+3) 57600 15 9 0
(10+2)(17+3) 57600 15 10 0
(10+2)(17+3) 57600 15 11 0
(10+2)(17+3) 57600 15 12 0
(10+2)(17+3) 57600 15 13 0
(10+2)(17+3) 57600 15 14 0
(10+2)(17+3) 57600 15 15 0
(10+2)(17+3) 57600 16 1 0
(10+2)(17+3) 57600 16 2 0
(10+2)(17+3) 57600 16 3 4.575372412594214742535301502648047322551142947901259796100536255284319392584465515E-19
(10+2)(17+3) 57600 16 4 4.17497384250733649990209493755405285163352816408231766229206081380539448615167922E-20
(10+2)(17+3) 57600 16 5 3.6717905747336394207709795262165998056125213360487374232263091915631790136383502E-21
(10+2)(17+3) 57600 16 6 2.758507361314480452356427635125699033121605100575460569576239776362233555096866E-22
(10+2)(17+3) 57600 16 7 1.28789866492294428994258684900497635838420188588129378094580375794842704373305E-23
(10+2)(17+3) 57600 16 8 0
(10+2)(17+3) 57600 16 9 0
(10+2)(17+3) 57600 16 10 0
(10+2)(17+3) 57600 16 11 0
(10+2)(17+3) 57600 16 12 0
(10+2)(17+3) 57600 16 13 0
(10+2)(17+3) 57600 16 14 0
(10+2)(17+3) 57600 16 15 0
(10+2)(17+3) 57600 16 16 0
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 1.5324819293094812749829138157948425420735123438252504231000917093949584345623194013E-18
(10+2)(17+3) 57600 17 4 1.549848530964400940796568655582104952751673074091989966803224810537084046194586371E-19
(10+2)(17+3) 57600 17 5 1.63084838092289612019470452978716411594154905164513562044155813090152645601732332E-20
