config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 1 1 0
(10+2)(17+3) 57600 2 1 0
(10+2)(17+3) 57600 2 2 0
(10+2)(17+3) 57600 3 1 0
(10+2)(17+3) 57600 3 2 0
(10+2)(17+3) 57600 3 3 0
(10+2)(17+3) 57600 4 1 0
(10+2)(17+3) 57600 4 2 0
(10+2)(17+3) 57600 4 3 0
(10+2)(17+3) 57600 4 4 0
(10+2)(17+3) 57600 5 1 0
(10+2)(17+3) 57600 5 2 0
(10+2)(17+3) 57600 5 3 0
(10+2)(17+3) 57600 5 4 0
(10+2)(17+3) 57600 5 5 0
(10+2)(17+3) 57600 6 1 0
(10+2)(17+3) 57600 6 2 0
(10+2)(17+3) 57600 6 3 0
(10+2)(17+3) 57600 6 4 0
(10+2)(17+3) 57600 6 5 0
(10+2)(17+3) 57600 6 6 0
(10+2)(17+3) 57600 7 1 0
(10+2)(17+3) 57600 7 2 0
(10+2)(17+3) 57600 7 3 0
(10+2)(17+3) 57600 7 4 0
(10+2)(17+3) 57600 7 5 0
(10+2)(17+3) 57600 7 6 0
(10+2)(17+3) 57600 7 7 0
(10+2)(17+3) 57600 8 1 0
(10+2)(17+3) 57600 8 2 0
(10+2)(17+3) 57600 8 3 0
(10+2)(17+3) 57600 8 4 0
(10+2)(17+3) 57600 8 5 0
(10+2)(17+3) 57600 8 6 0
(10+2)(17+3) 57600 8 7 0
(10+2)(17+3) 57600 8 8 0
(10+2)(17+3) 57600 9 1 0
(10+2)(17+3) 57600 9 2 0
(10+2)(17+3) 57600 9 3 0
(10+2)(17+3) 57600 9 4 0
(10+2)(17+3) 57600 9 5 0
(10+2)(17+3) 57600 9 6 0
(10+2)(17+3) 57600 9 7 0
(10+2)(17+3) 57600 9 8 0
(10+2)(17+3) 57600 9 9 0
(10+2)(17+3) 57600 10 1 0
(10+2)(17+3) 57600 10 2 0
(10+2)(17+3) 57600 10 3 0
(10+2)(17+3) 57600 10 4 0
(10+2)(17+3) 57600 10 5 0
(10+2)(17+3) 57600 10 6 0
(10+2)(17+3) 57600 10 7 0
(10+2)(17+3) 57600 10 8 0
(10+2)(17+3) 57600 10 9 0
(10+2)(17+3) 57600 10 10 0
(10+2)(17+3) 57600 11 1 0
(10+2)(17+3) 57600 11 2 0
(10+2)(17+3) 57600 11 3 0
(10+2)(17+3) 57600 11 4 0
(10+2)(17+3) 57600 11 5 0
(10+2)(17+3) 57600 11 6 0
(10+2)(17+3) 57600 11 7 0
(10+2)(17+3) 57600 11 8 0
(10+2)(17+3) 57600 11 9 0
(10+2)(17+3) 57600 11 10 0
(10+2)(17+3) 57600 11 11 0
(10+2)(17+3) 57600 12 1 0
(10+2)(17+3) 57600 12 2 0
(10+2)(17+3) 57600 12 3 4.371769321698606401334054520187508503203191883727337182078589732274450725066310887428958409E-10
(10+2)(17+3) 57600 12 4 0
(10+2)(17+3) 57600 12 5 0
(10+2)(17+3) 57600 12 6 0
(10+2)(17+3) 57600 12 7 0
(10+2)(17+3) 57600 12 8 0
(10+2)(17+3) 57600 12 9 0
(10+2)(17+3) 57600 12 10 0
(10+2)(17+3) 57600 12 11 0
(10+2)(17+3) 57600 12 12 0
(10+2)(17+3) 57600 13 1 0
(10+2)(17+3) 57600 13 2 0
(10+2)(17+3) 57600 13 3 5.0917657263265527445035062005916241733248713712355858523128728395587344798104106998955068052E-9
(10+2)(17+3) 57600 13 4 1.935861364272672358737997338704655287404127316659985799345801745291469039316686588891965909E-10
(10+2)(17+3) 57600 13 5 0
(10+2)(17+3) 57600 13 6 0
(10+2)(17+3) 57600 13 7 0
(10+2)(17+3) 57600 13 8 0
(10+2)(17+3) 57600 13 9 0
(10+2)(17+3) 57600 13 10 0
(10+2)(17+3) 57600 13 11 0
(10+2)(17+3) 57600 13 12 0
(10+2)(17+3) 57600 13 13 0
(10+2)(17+3) 57600 14 1 0
(10+2)(17+3) 57600 14 2 0
(10+2)(17+3) 57600 14 3 3.20211740294756131768202366546916156867344907544447940363038642224061612566284850385349025201E-8
(10+2)(17+3) 57600 14 4 2.1189626676753771983094288883659731248826355908709435394535945805398725383924855859350536812E-9
(10+2)(17+3) 57600 14 5 8.54759700631139238124237545755603089131252975977613870548862670975136604461144806981187140E-11
(10+2)(17+3) 57600 14 6 0
(10+2)(17+3) 57600 14 7 0
(10+2)(17+3) 57600 14 8 0
(10+2)(17+3) 57600 14 9 0
(10+2)(17+3) 57600 14 10 0
(10+2)(17+3) 57600 14 11 0
(10+2)(17+3) 57600 14 12 0
(10+2)(17+3) 57600 14 13 0
(10+2)(17+3) 57600 14 14 0
(10+2)(17+3) 57600 15 1 0
(10+2)(17+3) 57600 15 2 0
(10+2)(17+3) 57600 15 3 1.441088246835251084286299108782651080363203287183963993687330390011927383330615349539117669038E-7
(10+2)(17+3) 57600 15 4 1.26113108565778910588932489451813819978461288554198414016861559156595743713086331184943852542E-8
(10+2)(17+3) 57600 15 5 9.038848291774887465689534436982725190554690611471150130359014323755601820814264022665514081E-10
(10+2)(17+3) 57600 15 6 4.06603114807682966039254036165560146176236255326366304689863666960010800925620783061808207E-11
(10+2)(17+3) 57600 15 7 0
(10+2)(17+3) 57600 15 8 0
(10+2)(17+3) 57600 15 9 0
(10+2)(17+3) 57600 15 10 0
(10+2)(17+3) 57600 15 11 0
(10+2)(17+3) 57600 15 12 0
(10+2)(17+3) 57600 15 13 0
(10+2)(17+3) 57600 15 14 0
(10+2)(17+3) 57600 15 15 0
(10+2)(17+3) 57600 16 1 0
(10+2)(17+3) 57600 16 2 0
(10+2)(17+3) 57600 16 3 5.194825176734910601952999729250593076491219002031506571467150056685142944762621910387896933325E-7
(10+2)(17+3) 57600 16 4 5.40646380735096991470237190462675295096421156058048695864126774648757304484819803880125252221E-8
(10+2)(17+3) 57600 16 5 5.2179054341849925732522249732793337873980126906839220949444572537564746778009820686721074273E-9
(10+2)(17+3) 57600 16 6 4.210454790289545383053001789360194623835109997724955153636169878938717751386266880157366406E-10
(10+2)(17+3) 57600 16 7 2.08291187913563278226076058444254480881670531644738923109857763412686552808035957552685652E-11
(10+2)(17+3) 57600 16 8 0
(10+2)(17+3) 57600 16 9 0
(10+2)(17+3) 57600 16 10 0
(10+2)(17+3) 57600 16 11 0
(10+2)(17+3) 57600 16 12 0
(10+2)(17+3) 57600 16 13 0
(10+2)(17+3) 57600 16 14 0
(10+2)(17+3) 57600 16 15 0
(10+2)(17+3) 57600 16 16 0
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 0.0000015929528533297349286135984148589012063148257485595657804306952892396314244022853241545338986915
(10+2)(17+3) 57600 17 4 1.867854729236794687934957738128939257772702645157340757955041312808615927798825903863894286608E-7
