data,parity,throughput
1,1,7601.911247
1,2,9621.644549
1,3,7254.414669
1,4,5560.381436
1,5,4436.392657
1,6,4036.741335
1,7,2592.958727
1,8,3312.023618
1,9,3042.906818
1,10,2787.113298
2,1,12005.162158
2,2,14218.965165
2,3,10525.856725
2,4,8512.212938
2,5,6792.446421
2,6,5634.007718
2,7,3790.580867
2,8,4118.96531
2,9,3714.646822
2,10,3468.598353
3,1,15683.750448
3,2,16235.753807
3,3,11895.669271
3,4,9321.540244
3,5,7229.224147
3,6,5242.366415
3,7,4151.31419
3,8,4124.956024
3,9,3688.136617
3,10,3421.181663
4,1,24985.151748
4,2,17095.021097
4,3,11130.965877
4,4,9504.27474
4,5,6594.930122
4,6,5371.446947
4,7,4177.086741
4,8,4109.587985
4,9,3592.182571
4,10,3431.025341
5,1,25807.119787
5,2,16727.901618
5,3,12369.409626
5,4,8769.500738
5,5,6214.499305
5,6,5201.200599
5,7,4201.771585
5,8,3918.089862
5,9,3639.401034
5,10,3308.448618
6,1,22755.496953
6,2,17436.907473
6,3,11481.358254
6,4,8311.159552
6,5,6154.568272
6,6,5401.010549
6,7,4332.298525
6,8,4125.942998
6,9,3677.05262
6,10,3253.433707
7,1,23741.699725
7,2,16090.280337
7,3,10880.198785
7,4,7749.634797
7,5,6173.086979
7,6,5374.530255
7,7,4476.611953
7,8,4098.959858
7,9,3607.679101
7,10,3240.561764
8,1,17864.494259
8,2,14137.85202
8,3,10049.118203
8,4,7745.860933
8,5,6560.11275
8,6,5441.82531
8,7,4194.474275
8,8,3983.045922
8,9,3544.471213
8,10,3222.9897
9,1,15895.51476
9,2,12971.346159
9,3,9973.547871
9,4,7732.306413
9,5,6332.508156
9,6,5406.461572
9,7,4084.406572
9,8,3837.453359
9,9,3530.751617
9,10,3218.120259
10,1,13997.191281
10,2,12353.342877
10,3,9658.759958
10,4,7346.416803
10,5,6278.794241
10,6,5421.331388
10,7,4237.870253
10,8,3819.162343
10,9,3479.620994
10,10,3225.948515
11,1,12752.415791
11,2,11546.141506
11,3,9291.744017
11,4,7201.923059
11,5,6240.665659
11,6,5467.944107
11,7,4165.026011
11,8,3701.612382
11,9,3444.363564
11,10,3201.812733
12,1,11877.863393
12,2,10804.7197
12,3,8323.050101
12,4,7339.12774
12,5,6016.368293
12,6,5455.422011
12,7,3960.905378
12,8,3581.786253
12,9,3388.966881
12,10,3231.845607
13,1,11228.770099
13,2,9728.179859
13,3,8258.903536
13,4,7054.03484
13,5,6304.758389
13,6,5392.977964
13,7,3609.465899
13,8,3507.603403
13,9,3401.708463
13,10,3216.938208
14,1,10224.095533
14,2,9220.374974
14,3,8105.74956
14,4,6888.33006
14,5,6257.921731
14,6,5272.665275
14,7,3555.887695
14,8,3399.126661
14,9,3362.120825
14,10,3303.157844
15,1,8944.923645
15,2,9012.811643
15,3,8102.979245
15,4,7244.570728
15,5,6134.016635
15,6,5177.548534
15,7,3421.878762
15,8,3529.175628
15,9,3311.313914
15,10,3124.73261
