config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 1 1 0
(10+2)(17+3) 57600 2 1 0
(10+2)(17+3) 57600 2 2 0
(10+2)(17+3) 57600 3 1 0
(10+2)(17+3) 57600 3 2 0
(10+2)(17+3) 57600 3 3 0
(10+2)(17+3) 57600 4 1 0
(10+2)(17+3) 57600 4 2 0
(10+2)(17+3) 57600 4 3 0
(10+2)(17+3) 57600 4 4 0
(10+2)(17+3) 57600 5 1 0
(10+2)(17+3) 57600 5 2 0
(10+2)(17+3) 57600 5 3 0
(10+2)(17+3) 57600 5 4 0
(10+2)(17+3) 57600 5 5 0
(10+2)(17+3) 57600 6 1 0
(10+2)(17+3) 57600 6 2 0
(10+2)(17+3) 57600 6 3 0
(10+2)(17+3) 57600 6 4 0
(10+2)(17+3) 57600 6 5 0
(10+2)(17+3) 57600 6 6 0
(10+2)(17+3) 57600 7 1 0
(10+2)(17+3) 57600 7 2 0
(10+2)(17+3) 57600 7 3 0
(10+2)(17+3) 57600 7 4 0
(10+2)(17+3) 57600 7 5 0
(10+2)(17+3) 57600 7 6 0
(10+2)(17+3) 57600 7 7 0
(10+2)(17+3) 57600 8 1 0
(10+2)(17+3) 57600 8 2 0
(10+2)(17+3) 57600 8 3 0
(10+2)(17+3) 57600 8 4 0
(10+2)(17+3) 57600 8 5 0
(10+2)(17+3) 57600 8 6 0
(10+2)(17+3) 57600 8 7 0
(10+2)(17+3) 57600 8 8 0
(10+2)(17+3) 57600 9 1 0
(10+2)(17+3) 57600 9 2 0
(10+2)(17+3) 57600 9 3 0
(10+2)(17+3) 57600 9 4 0
(10+2)(17+3) 57600 9 5 0
(10+2)(17+3) 57600 9 6 0
(10+2)(17+3) 57600 9 7 0
(10+2)(17+3) 57600 9 8 0
(10+2)(17+3) 57600 9 9 0
(10+2)(17+3) 57600 10 1 0
(10+2)(17+3) 57600 10 2 0
(10+2)(17+3) 57600 10 3 0
(10+2)(17+3) 57600 10 4 0
(10+2)(17+3) 57600 10 5 0
(10+2)(17+3) 57600 10 6 0
(10+2)(17+3) 57600 10 7 0
(10+2)(17+3) 57600 10 8 0
(10+2)(17+3) 57600 10 9 0
(10+2)(17+3) 57600 10 10 0
(10+2)(17+3) 57600 11 1 0
(10+2)(17+3) 57600 11 2 0
(10+2)(17+3) 57600 11 3 0
(10+2)(17+3) 57600 11 4 0
(10+2)(17+3) 57600 11 5 0
(10+2)(17+3) 57600 11 6 0
(10+2)(17+3) 57600 11 7 0
(10+2)(17+3) 57600 11 8 0
(10+2)(17+3) 57600 11 9 0
(10+2)(17+3) 57600 11 10 0
(10+2)(17+3) 57600 11 11 0
(10+2)(17+3) 57600 12 1 0
(10+2)(17+3) 57600 12 2 0
(10+2)(17+3) 57600 12 3 2.195785657998094609086179487601484582080796624826522729894090035752984273438843319043987E-13
(10+2)(17+3) 57600 12 4 0
(10+2)(17+3) 57600 12 5 0
(10+2)(17+3) 57600 12 6 0
(10+2)(17+3) 57600 12 7 0
(10+2)(17+3) 57600 12 8 0
(10+2)(17+3) 57600 12 9 0
(10+2)(17+3) 57600 12 10 0
(10+2)(17+3) 57600 12 11 0
(10+2)(17+3) 57600 12 12 0
(10+2)(17+3) 57600 13 1 0
(10+2)(17+3) 57600 13 2 0
(10+2)(17+3) 57600 13 3 2.5574144775347055901856812630820730706902754732060675580545734053160651335985223233329639E-12
(10+2)(17+3) 57600 13 4 9.72314938586690712034170931004858642672660381504778080837404076481505672508929010712468E-14
(10+2)(17+3) 57600 13 5 0
(10+2)(17+3) 57600 13 6 0
(10+2)(17+3) 57600 13 7 0
(10+2)(17+3) 57600 13 8 0
(10+2)(17+3) 57600 13 9 0
(10+2)(17+3) 57600 13 10 0
(10+2)(17+3) 57600 13 11 0
(10+2)(17+3) 57600 13 12 0
(10+2)(17+3) 57600 13 13 0
(10+2)(17+3) 57600 14 1 0
(10+2)(17+3) 57600 14 2 0
(10+2)(17+3) 57600 14 3 1.60831072072358884125247754968589171424824389199888923874626728907833400525512006604271957E-11
(10+2)(17+3) 57600 14 4 1.0642802703293555112782965814959135909970864762739433689175528010820882306727307424973330E-12
(10+2)(17+3) 57600 14 5 4.29315673717057441708367411387329868335575994290334260667988812314002349186906089128847E-14
(10+2)(17+3) 57600 14 6 0
(10+2)(17+3) 57600 14 7 0
(10+2)(17+3) 57600 14 8 0
(10+2)(17+3) 57600 14 9 0
(10+2)(17+3) 57600 14 10 0
(10+2)(17+3) 57600 14 11 0
(10+2)(17+3) 57600 14 12 0
(10+2)(17+3) 57600 14 13 0
(10+2)(17+3) 57600 14 14 0
(10+2)(17+3) 57600 15 1 0
(10+2)(17+3) 57600 15 2 0
(10+2)(17+3) 57600 15 3 7.23807838763321975779391172770362812499782480960677415005873497321157273553329962600922996E-11
(10+2)(17+3) 57600 15 4 6.3342169885281269016577357172795149938042179924759942750286617416831950469569588464091831E-12
(10+2)(17+3) 57600 15 5 4.539894944911773182832813358727077417085293538417895758782745724416990248253803708052704E-13
(10+2)(17+3) 57600 15 6 2.04222414838020192250136725499578171022912350626005869721128923900502210429839485940235E-14
(10+2)(17+3) 57600 15 7 0
(10+2)(17+3) 57600 15 8 0
(10+2)(17+3) 57600 15 9 0
(10+2)(17+3) 57600 15 10 0
(10+2)(17+3) 57600 15 11 0
(10+2)(17+3) 57600 15 12 0
(10+2)(17+3) 57600 15 13 0
(10+2)(17+3) 57600 15 14 0
(10+2)(17+3) 57600 15 15 0
(10+2)(17+3) 57600 16 1 0
(10+2)(17+3) 57600 16 2 0
(10+2)(17+3) 57600 16 3 2.609297874281262156446124014589666788446946484738671612841714372065258630548263159366777750E-10
(10+2)(17+3) 57600 16 4 2.71550393715685356324104273727338013547597731846125004255030959432188879599485661286945589E-11
(10+2)(17+3) 57600 16 5 2.6207700073072635842423324584523246484775962338144334017199841919619932356722495413589084E-12
(10+2)(17+3) 57600 16 6 2.114763054006474613419738990491769289806135391171761154386957036652811553242298714281261E-13
(10+2)(17+3) 57600 16 7 1.04617322976749527893357166993297016076964122228052315632690833099227063892113326137837E-14
(10+2)(17+3) 57600 16 8 0
(10+2)(17+3) 57600 16 9 0
(10+2)(17+3) 57600 16 10 0
(10+2)(17+3) 57600 16 11 0
(10+2)(17+3) 57600 16 12 0
(10+2)(17+3) 57600 16 13 0
(10+2)(17+3) 57600 16 14 0
(10+2)(17+3) 57600 16 15 0
(10+2)(17+3) 57600 16 16 0
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 8.002617656007947900676758225202724124682804099162060962471499113406187849873979592522133977E-10
(10+2)(17+3) 57600 17 4 9.38220585673322591220211952976742787113696597084697334277618113928078876895437513673299364E-11
