config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 1 1 0
(10+2)(17+3) 57600 2 1 0
(10+2)(17+3) 57600 2 2 0
(10+2)(17+3) 57600 3 1 0
(10+2)(17+3) 57600 3 2 0
(10+2)(17+3) 57600 3 3 0
(10+2)(17+3) 57600 4 1 0
(10+2)(17+3) 57600 4 2 0
(10+2)(17+3) 57600 4 3 0
(10+2)(17+3) 57600 4 4 0
(10+2)(17+3) 57600 5 1 0
(10+2)(17+3) 57600 5 2 0
(10+2)(17+3) 57600 5 3 0
(10+2)(17+3) 57600 5 4 0
(10+2)(17+3) 57600 5 5 0
(10+2)(17+3) 57600 6 1 0
(10+2)(17+3) 57600 6 2 0
(10+2)(17+3) 57600 6 3 0
(10+2)(17+3) 57600 6 4 0
(10+2)(17+3) 57600 6 5 0
(10+2)(17+3) 57600 6 6 0
(10+2)(17+3) 57600 7 1 0
(10+2)(17+3) 57600 7 2 0
(10+2)(17+3) 57600 7 3 0
(10+2)(17+3) 57600 7 4 0
(10+2)(17+3) 57600 7 5 0
(10+2)(17+3) 57600 7 6 0
(10+2)(17+3) 57600 7 7 0
(10+2)(17+3) 57600 8 1 0
(10+2)(17+3) 57600 8 2 0
(10+2)(17+3) 57600 8 3 0
(10+2)(17+3) 57600 8 4 0
(10+2)(17+3) 57600 8 5 0
(10+2)(17+3) 57600 8 6 0
(10+2)(17+3) 57600 8 7 0
(10+2)(17+3) 57600 8 8 0
(10+2)(17+3) 57600 9 1 0
(10+2)(17+3) 57600 9 2 0
(10+2)(17+3) 57600 9 3 0
(10+2)(17+3) 57600 9 4 0
(10+2)(17+3) 57600 9 5 0
(10+2)(17+3) 57600 9 6 0
(10+2)(17+3) 57600 9 7 0
(10+2)(17+3) 57600 9 8 0
(10+2)(17+3) 57600 9 9 0
(10+2)(17+3) 57600 10 1 0
(10+2)(17+3) 57600 10 2 0
(10+2)(17+3) 57600 10 3 0
(10+2)(17+3) 57600 10 4 0
(10+2)(17+3) 57600 10 5 0
(10+2)(17+3) 57600 10 6 0
(10+2)(17+3) 57600 10 7 0
(10+2)(17+3) 57600 10 8 0
(10+2)(17+3) 57600 10 9 0
(10+2)(17+3) 57600 10 10 0
(10+2)(17+3) 57600 11 1 0
(10+2)(17+3) 57600 11 2 0
(10+2)(17+3) 57600 11 3 0
(10+2)(17+3) 57600 11 4 0
(10+2)(17+3) 57600 11 5 0
(10+2)(17+3) 57600 11 6 0
(10+2)(17+3) 57600 11 7 0
(10+2)(17+3) 57600 11 8 0
(10+2)(17+3) 57600 11 9 0
(10+2)(17+3) 57600 11 10 0
(10+2)(17+3) 57600 11 11 0
(10+2)(17+3) 57600 12 1 0
(10+2)(17+3) 57600 12 2 0
(10+2)(17+3) 57600 12 3 1.93748268118702808349021029569475812120611697652978772811879914171806958705550614886E-17
(10+2)(17+3) 57600 12 4 0
(10+2)(17+3) 57600 12 5 0
(10+2)(17+3) 57600 12 6 0
(10+2)(17+3) 57600 12 7 0
(10+2)(17+3) 57600 12 8 0
(10+2)(17+3) 57600 12 9 0
(10+2)(17+3) 57600 12 10 0
(10+2)(17+3) 57600 12 11 0
(10+2)(17+3) 57600 12 12 0
(10+2)(17+3) 57600 13 1 0
(10+2)(17+3) 57600 13 2 0
(10+2)(17+3) 57600 13 3 2.465706413494727136793838673997690747488383680604896986251174392590251589032286784143E-16
(10+2)(17+3) 57600 13 4 8.5793590431255871444409091758769859313681911537841716120919735552876391652490529561E-18
(10+2)(17+3) 57600 13 5 0
(10+2)(17+3) 57600 13 6 0
(10+2)(17+3) 57600 13 7 0
(10+2)(17+3) 57600 13 8 0
(10+2)(17+3) 57600 13 9 0
(10+2)(17+3) 57600 13 10 0
(10+2)(17+3) 57600 13 11 0
(10+2)(17+3) 57600 13 12 0
(10+2)(17+3) 57600 13 13 0
(10+2)(17+3) 57600 14 1 0
(10+2)(17+3) 57600 14 2 0
(10+2)(17+3) 57600 14 3 1.6941252261034957753235380961400797921081476798826132208096555397729580323946890259540E-15
(10+2)(17+3) 57600 14 4 1.012517990774099552488438507834183387395452124857915556638924476191846512125713197194E-16
(10+2)(17+3) 57600 14 5 3.7881278601085642107798243637234595491018637798368898743442699599100981640277135551E-18
(10+2)(17+3) 57600 14 6 0
(10+2)(17+3) 57600 14 7 0
(10+2)(17+3) 57600 14 8 0
(10+2)(17+3) 57600 14 9 0
(10+2)(17+3) 57600 14 10 0
(10+2)(17+3) 57600 14 11 0
(10+2)(17+3) 57600 14 12 0
(10+2)(17+3) 57600 14 13 0
(10+2)(17+3) 57600 14 14 0
(10+2)(17+3) 57600 15 1 0
(10+2)(17+3) 57600 15 2 0
(10+2)(17+3) 57600 15 3 8.3286858892483561713384597292331121704018965209501151243660697058720882704755403698551E-15
(10+2)(17+3) 57600 15 4 6.489436266514052999546564544656718549690518259614604862261458638936659375335295318088E-16
(10+2)(17+3) 57600 15 5 4.27676507548425460764942326719318151922580103024738446803531152822211706730847069102E-17
(10+2)(17+3) 57600 15 6 1.8019855008051984386621537039291299436427880854697324516576771901522308852319834357E-18
(10+2)(17+3) 57600 15 7 0
(10+2)(17+3) 57600 15 8 0
(10+2)(17+3) 57600 15 9 0
(10+2)(17+3) 57600 15 10 0
(10+2)(17+3) 57600 15 11 0
(10+2)(17+3) 57600 15 12 0
(10+2)(17+3) 57600 15 13 0
(10+2)(17+3) 57600 15 14 0
(10+2)(17+3) 57600 15 15 0
(10+2)(17+3) 57600 16 1 0
(10+2)(17+3) 57600 16 2 0
(10+2)(17+3) 57600 16 3 3.27941356231372534868698123667840871974861217789620629836255339870232959691039589225669E-14
(10+2)(17+3) 57600 16 4 2.9924268362948164372896782846684925495254518890148727832555627527969514939996586176188E-15
(10+2)(17+3) 57600 16 5 2.631768578807776043773780420617747568017557692686638898281282803939206685370971018773E-16
(10+2)(17+3) 57600 16 6 1.97716968061122022334075946604453885258657033047326335119846475944504015196795993655E-17
(10+2)(17+3) 57600 16 7 9.231058171879991445329871075061588220629329380392049074168753835588807236163620653E-19
(10+2)(17+3) 57600 16 8 0
(10+2)(17+3) 57600 16 9 0
(10+2)(17+3) 57600 16 10 0
(10+2)(17+3) 57600 16 11 0
(10+2)(17+3) 57600 16 12 0
(10+2)(17+3) 57600 16 13 0
(10+2)(17+3) 57600 16 14 0
(10+2)(17+3) 57600 16 15 0
(10+2)(17+3) 57600 16 16 0
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 1.098411016271037178546078087760765599619419705303660878507128272654668010282205076748607E-13
(10+2)(17+3) 57600 17 4 1.11085906956688165640812137043850535337392382309499163565701080426712370887776140758790E-14
